Name,EndsVowel,EndsA,LenGt5,StartsVowel,HasY,IsFemale
Raul,0,0,0,0,0,0
Alexina,1,1,1,1,0,1
Annabelle,1,0,1,1,0,1
Niall,0,0,0,0,0,0
Alonzo,0,0,1,1,0,0
Emylee,1,0,1,1,1,1
Rosette,1,0,1,0,0,1
Erinna,1,1,1,1,0,1
Partha,1,1,1,0,0,0
Norene,1,0,1,0,0,1
Van,0,0,0,0,0,0
Anne-Corinne,1,0,1,1,0,1
Shaun,0,0,0,0,0,1
Sal,0,0,0,0,0,1
Veronica,1,1,1,0,0,1
Eddy,0,0,0,1,1,1
Hadrian,0,0,1,0,0,0
Sonnie,1,0,1,0,0,1
Charley,0,0,1,0,1,0
Yalonda,1,1,1,1,1,1
Bryna,1,1,0,0,1,1
Wendie,1,0,1,0,0,1
Lenny,0,0,0,0,1,0
Zelig,0,0,0,0,0,0
Grover,0,0,1,0,0,0
Gere,0,0,0,0,0,0
Garnette,1,0,1,0,0,1
Emlyn,0,0,0,1,1,1
Kriste,1,0,1,0,0,1
Hyacinth,0,0,1,0,1,1
Kristina,1,1,1,0,0,1
Nilson,0,0,1,0,0,0
Willetta,1,1,1,0,0,1
Bea,1,1,0,0,0,1
Nadya,1,1,0,0,1,1
Larry,0,0,0,0,1,0
Idell,0,0,0,1,0,1
Clo,0,0,0,0,0,1
Mervin,0,0,1,0,0,0
Yolande,1,0,1,1,1,1
Jenny,0,0,0,0,1,1
Wylma,1,1,0,0,1,1
Charleen,0,0,1,0,0,1
Maye,0,0,0,0,1,1
Ernestine,1,0,1,1,0,1
Christiana,1,1,1,0,0,1
Alma,1,1,0,1,0,1
Mayor,0,0,0,0,1,0
Rahal,0,0,0,0,0,1
Sherye,1,0,1,0,1,1
Vina,1,1,0,0,0,1
Jo Ann,0,0,1,0,0,1
Waldemar,0,0,1,0,0,0
Gilberto,0,0,1,0,0,0
Laureen,0,0,1,0,0,1
Dietrich,0,0,1,0,0,0
Sofie,1,0,0,0,0,1
Corey,0,0,0,0,1,1
Ikey,0,0,0,1,1,0
Fernanda,1,1,1,0,0,1
Lonni,1,0,0,0,0,1
Jabez,0,0,0,0,0,0
Torin,0,0,0,0,0,0
Emily,0,0,0,1,1,1
Lavina,1,1,1,0,0,1
Opalina,1,1,1,1,0,1
Alaine,1,0,1,1,0,1
Brynna,1,1,1,0,1,1
Annabell,0,0,1,1,0,1
Raf,0,0,0,0,0,1
Melisse,1,0,1,0,0,1
Daniela,1,1,1,0,0,1
Tito,0,0,0,0,0,0
Curtice,1,0,1,0,0,0
Amanda,1,1,1,1,0,1
Moe,0,0,0,0,0,0
Brana,1,1,0,0,0,1
Amory,0,0,0,1,1,0
Dory,0,0,0,0,1,0
Sallee,1,0,1,0,0,1
Lay,0,0,0,0,1,0
Tiebold,0,0,1,0,0,0
Stephenie,1,0,1,0,0,1
Adiana,1,1,1,1,0,1
Annalise,1,0,1,1,0,1
Ally,0,0,0,1,1,1
Ike,0,0,0,1,0,1
Mollee,1,0,1,0,0,1
Deena,1,1,0,0,0,1
Chrissy,0,0,1,0,1,0
Alic,0,0,0,1,0,0
Sid,0,0,0,0,0,0
Holley,0,0,1,0,1,1
Selig,0,0,0,0,0,0
Tommie,1,0,1,0,0,0
Billy,0,0,0,0,1,1
Emmalynn,0,0,1,1,1,1
Sidonia,1,1,1,0,0,1
Linn,0,0,0,0,0,1
Julius,0,0,1,0,0,0
Halie,1,0,0,0,0,1
Harald,0,0,1,0,0,0
Laetitia,1,1,1,0,0,1
Beatrice,1,0,1,0,0,1
Elden,0,0,0,1,0,0
Pia,1,1,0,0,0,1
Frederich,0,0,1,0,0,0
Aliza,1,1,0,1,0,1
Tammy,0,0,0,0,1,0
Corry,0,0,0,0,1,1
Georgie,1,0,1,0,0,1
Jessi,1,0,0,0,0,1
Peirce,1,0,1,0,0,0
Jo-Ann,0,0,1,0,0,1
Ardelia,1,1,1,1,0,1
Engelbart,0,0,1,1,0,0
Diamond,0,0,1,0,0,1
Hettie,1,0,1,0,0,1
Mahala,1,1,1,0,0,1
Kirsten,0,0,1,0,0,1
Zahara,1,1,1,0,0,1
Fanchette,1,0,1,0,0,1
Donella,1,1,1,0,0,1
Georgiamay,0,0,1,0,1,1
Alfonzo,0,0,1,1,0,0
Judith,0,0,1,0,0,1
Angie,1,0,0,1,0,0
Reinhold,0,0,1,0,0,0
Elisha,1,1,1,1,0,1
Lauren,0,0,1,0,0,1
Felecia,1,1,1,0,0,1
Carolee,1,0,1,0,0,1
Zared,0,0,0,0,0,0
Hercules,0,0,1,0,0,0
Risa,1,1,0,0,0,1
Brinkley,0,0,1,0,1,0
Cooper,0,0,1,0,0,0
Pip,0,0,0,0,0,0
Karisa,1,1,1,0,0,1
Hobart,0,0,1,0,0,0
Albert,0,0,1,1,0,0
Napoleon,0,0,1,0,0,0
Marlee,1,0,1,0,0,1
Lina,1,1,0,0,0,1
Nickie,1,0,1,0,0,1
Zelda,1,1,0,0,0,1
Elric,0,0,0,1,0,0
Catharine,1,0,1,0,0,1
Kalil,0,0,0,0,0,0
Jilleen,0,0,1,0,0,1
Emelyne,1,0,1,1,1,1
Stephanus,0,0,1,0,0,0
Hillel,0,0,1,0,0,0
Windy,0,0,0,0,1,1
Ritch,0,0,0,0,0,0
Sena,1,1,0,0,0,1
Romeo,0,0,0,0,0,0
Andromeda,1,1,1,1,0,1
Corrianne,1,0,1,0,0,1
Pen,0,0,0,0,0,0
Sven,0,0,0,0,0,0
Lissy,0,0,0,0,1,1
Wolf,0,0,0,0,0,0
Shalom,0,0,1,0,0,0
Guglielma,1,1,1,0,0,1
Miranda,1,1,1,0,0,1
Joelly,0,0,1,0,1,1
Alden,0,0,0,1,0,0
Valerie,1,0,1,0,0,1
Maribelle,1,0,1,0,0,1
Guenna,1,1,1,0,0,1
Ramonda,1,1,1,0,0,1
Eleanore,1,0,1,1,0,1
Ella,1,1,0,1,0,1
Brandea,1,1,1,0,0,1
Loraine,1,0,1,0,0,1
Menard,0,0,1,0,0,0
Robb,0,0,0,0,0,0
Wilmar,0,0,1,0,0,0
Electra,1,1,1,1,0,1
Lou,0,0,0,0,0,1
Sebastiano,0,0,1,0,0,0
Essa,1,1,0,1,0,1
Dustin,0,0,1,0,0,0
Curt,0,0,0,0,0,0
Ernest,0,0,1,1,0,0
Clair,0,0,0,0,0,1
Evvy,0,0,0,1,1,1
Agna,1,1,0,1,0,1
Shelton,0,0,1,0,0,0
Carmelita,1,1,1,0,0,1
Fulton,0,0,1,0,0,0
Anabel,0,0,1,1,0,1
Niven,0,0,0,0,0,0
Cherilynn,0,0,1,0,1,1
Terri,1,0,0,0,0,0
Joli,1,0,0,0,0,1
Ivie,0,0,0,1,0,1
Edi,1,0,0,1,0,1
Tiffi,1,0,0,0,0,1
Orelle,1,0,1,1,0,1
Gaylene,1,0,1,0,1,1
Roarke,1,0,1,0,0,0
Ransom,0,0,1,0,0,0
Evanne,1,0,1,1,0,1
Gabriello,0,0,1,0,0,0
Dove,0,0,0,0,0,1
Welch,0,0,0,0,0,0
Dixie,1,0,0,0,0,1
Constanta,1,1,1,0,0,1
Arabel,0,0,1,1,0,1
Jackqueline,1,0,1,0,0,1
Clarisse,1,0,1,0,0,1
Alberta,1,1,1,1,0,1
Karolina,1,1,1,0,0,1
Arvie,1,0,0,1,0,0
Blanch,0,0,1,0,0,1
Zalman,0,0,1,0,0,0
Stillman,0,0,1,0,0,0
Alyssa,1,1,1,1,1,1
Kee,0,0,0,0,0,1
Rebeca,1,1,1,0,0,1
Theadora,1,1,1,0,0,1
Danelle,1,0,1,0,0,1
Halvard,0,0,1,0,0,0
Elyn,0,0,0,1,1,1
Hal,0,0,0,0,0,0
Lorelei,1,0,1,0,0,1
Wilfred,0,0,1,0,0,0
Mugsy,0,0,0,0,1,0
Hewett,0,0,1,0,0,0
Leann,0,0,0,0,0,1
Averell,0,0,1,1,0,0
Kasey,0,0,0,0,1,1
Lesley,0,0,1,0,1,0
Ardelis,0,0,1,1,0,1
Kai,1,0,0,0,0,1
